,genre,spotify_id,spotify_name,tracks
0,acoustic,37i9dQZF1DX504r1DvyvxG,Classic Acoustic,100
1,alternative,37i9dQZF1DX82GYcclJ3Ug,The New Alt,100
2,ambient,37i9dQZF1DWUrPBdYfoJvz,Ambient Essentials,100
3,blues,37i9dQZF1DXd9rSDyQguIk,Blues Classics,70
4,chill,37i9dQZF1DX0MLFaUdXnjA,Chill Pop,100
5,classical,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials,100
6,country,37i9dQZF1DWVpjAJGB70vU,90s Country,100
7,electro,37i9dQZF1DX4dyzvuaRJ0n,mint,75
8,folk,37i9dQZF1DWVmps5U8gHNv,Essential Folk,100
9,gospel,37i9dQZF1DXcb6CQIjdqKy,Top Christian & Gospel,100
10,hiphop,37i9dQZF1DX2RxBh64BHjQ,Most Necessary,100
11,instrumental,37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano,100
12,jazz,37i9dQZF1DX7YCknf2jT6s,State of Jazz,100
13,kpop,37i9dQZF1DX14fiWYoe7Oh,K-Pop Generations,100
14,metal,37i9dQZF1DX9qNs32fujYe,Heavy Metal,100
15,pop,37i9dQZF1DX4JAvHpjipBk,New Music Friday,100
16,punk,37i9dQZF1DXasneILDRM7B,Pure Pop Punk,100
17,rock,37i9dQZF1DWXRqgorJj26U,Rock Classics,100
18,rnb,37i9dQZF1DWUFAJPVM3HTX,Fresh Finds R&B,100
19,soul,37i9dQZF1DX9XIFQuFvzM4,Feelin' Good,100
