,id,name,artist
0,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),Jung Kook
1,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift
2,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
3,7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers
4,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),Dua Lipa
5,3k79jB4aGmMDUQzEwa46Rz,vampire,Olivia Rodrigo
6,741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj
7,6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo
8,2i8f4VnnBjy0yDqH2C452a,bad idea right?,Olivia Rodrigo
9,4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna
10,2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave
11,2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat
12,5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans
13,2N0SPREDYqILVEFSsWF5N5,Love Me Again,V
14,67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott
15,1odExI7RdWc4BT515LTAwj,Daylight,David Kushner
16,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles
17,7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,Bad Bunny
18,4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus
19,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA
20,2UW7JaomAMuX9pZrjVpHAU,La Bebe - Remix,Yng Lvcas
21,42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),Travis Scott
22,6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,Feid
23,54zcJnb3tp9c5OVKREZ1Is,MI EX TENÍA RAZÓN,KAROL G
24,5ydjxBSUIDn26MFzU3asP4,Rainy Days,V
25,23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,Peggy Gou
26,4lIxdJw6W3Fg4vUIYCB0S5,Style,Taylor Swift
27,7mXuWTczZNxG5EDcjFEuJR,LADY GAGA,Peso Pluma
28,3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin
29,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,Eslabon Armado
30,3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift
31,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys
32,6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,Travis Scott
33,1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift
34,5L3ecxQnQ9qTBmnLQiwf0C,K-POP,Travis Scott
35,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd
36,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Taylor Swift
37,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY
38,1s7oOCT8vauUh01PbJD6ps,Calm Down (with Selena Gomez),Rema
39,1i9lZvlaDdWDPyXEE95aiq,TELEKINESIS (feat. SZA & Future),Travis Scott
40,25OeKzcqakFPaJlXHPE5lm,Primera Cita,Carin Leon
41,4QctbZRsuWYPT0pbKg7u75,un x100to,Grupo Frontera
42,7K3BhSpAxZBznislvUMVtn,Last Night,Morgan Wallen
43,7bPp2NmpmyhLJ7zWazAXMu,TULUM,Peso Pluma
44,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),Metro Boomin
45,0DWdj2oZMBFSzRsi2Cvfzf,TQG,KAROL G
46,2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd
47,609E1JCInJncactoMmkDon,BESO,ROSALÍA
48,78Du4CMFgnhdlG33gblkiP,Rich Men North of Richmond,Oliver Anthony Music
49,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta
